micro_name,micro_tid
Achromobacter sp.,134375
Achromobacter xylosoxidans,85698
Acinetobacter baumannii,470
Acinetobacter nosocomialis,106654
Acinetobacter sp.,472
Actinomyces oris,544580
Actinoplanes missouriensis,1866
Aeromonas hydrophila,644
Aeromonas sobria,646
Amycolatopsis orientalis,31958
Aquifex aeolicus,63363
Aspergillus fumigatus,746128
Aspergillus niger,5061
Bacillus amyloliquefaciens,1390
Bacillus cereus,1396
Bacillus licheniformis,1402
Bacillus subtilis,1423
Bacteroides,816
Bacteroides eggerthii,28111
Bacteroides fragilis,817
Bacteroides uniformis,820
Burkholderia cenocepacia,95486
Burkholderia cepacia,292
Burkholderia multivorans,87883
Burkholderia pseudomallei,28450
Campylobacter jejuni,197
Candida albicans,5476
Candida dubliniensis,42374
Candida glabrata,5478
Candida krusei,4909
Candida parapsilosis,5480
Candida tropicalis,5482
Chromobacterium violaceum,536
Citrobacter freundii,546
Clostridium leptum,1535
Clostridium pasteurianum,1501
Clostridium perfringens,1502
Corynebacterium ammoniagenes,1697
Cronobacter sakazakii,28141
Cryptococcus neoformans,5207
Edwardsiella tarda,636
Eggerthella lenta,84112
Eikenella corrodens,539
Enterobacter aerogenes,548
Enterobacter cancerogenus,69218
Enterobacter cloacae,550
Enterobacteria phage T4,2681598
Enterococcus faecalis,1351
Enterococcus faecium,1352
Enterococcus gallinarum,1353
Escherichia coli,562
Eubacterium ramulus,39490
Firmicutes,1783272
Fusarium solani,169388
Gardnerella vaginalis,2702
Geobacillus kaustophilus,1462
Haemophilus influenzae,727
Hafnia alvei,569
Hafnia paralvei,546367
Halomonas pacifica,77098
Hepatitis C virus,3052230
Human herpesvirus 3,10335
Human herpesvirus 4,10376
Human herpesvirus 5,10359
Human immunodeficiency virus,12721
Human immunodeficiency virus 1,11676
Human parainfluenza virus type 2,2560525
Influenza B virus,11520
Klebsiella pneumoniae,573
Klebsiella variicola,244366
Kocuria rhizophila,72000
Listeria monocytogenes,1639
Listeria monocytogenes serotype 4a,2291969
Lysinibacillus sphaericus,1421
Marinobacter hydrocarbonoclasticus,2743
Morganella morganii,582
Mycobacterium avium,1764
Mycobacterium leprae,1769
Mycobacterium tuberculosis,1773
Neisseria gonorrhoeae,485
Obesumbacterium proteus,82983
Pantoea agglomerans,549
Pichia anomala,4927
Plasmodium falciparum,5833
Porphyromonas gingivalis,837
Propionibacterium acnes,1747
Proteus mirabilis,584
Proteus vulgaris,585
Providencia stuartii,588
Pseudoalteromonas sp.,53249
Pseudomonas aeruginosa,287
Pseudomonas chlororaphis,587753
Pseudomonas fluorescens,294
Pseudomonas japonica,256466
Pseudomonas putida,303
Raoultella ornithinolytica,54291
Salmonella enterica,28901
Salmonella Typhi,90370
Schistosoma,6181
Serratia liquefaciens,614
Serratia marcescens,615
Shewanella oneidensis,70863
Shigella flexneri,623
Sphingomonas sp. Ibu-2,412900
Staphylococcus aureus,1280
Staphylococcus capitis,29388
Staphylococcus caprae,29380
Staphylococcus chromogenes,46126
Staphylococcus cohnii,29382
Staphylococcus epidermidis,1282
Staphylococcus equorum,246432
Staphylococcus haemolyticus,1283
Staphylococcus saprophyticus,29385
Stenotrophomonas maltophilia,40324
Streptococcus mitis,28037
Streptococcus mutans,1309
Streptococcus pneumoniae,1313
Streptococcus pyogenes,1314
Streptomyces rubiginosus,1929
Thermus thermophilus,274
Trichophyton mentagrophytes,523103
Trueperella pyogenes,1661
Vibrio anguillarum,55601
Vibrio campbellii,680
Vibrio cholerae,666
Vibrio harveyi,669
Vibrio parahaemolyticus,670
Vibrio vulnificus,672
Yersinia enterocolitica,630
